Project name,Region,Country,Partners,OG_01,Project type,Announcement,FID,Operation,Suspension/decommissioning,Project Status,Project phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Ref 1,Ref 2,Ref 3,Ref 4,Ref 5,Ref 6,Ref 7,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7
Prairie State Generating Station Carbon Capture (IL),North America,United States,"Prairie Research Institute (University of Illinois), Mitsubishi Heavy Industries, Kiewit Engineering Group, Sargent & Lundy",0,Full chain,2019,,2025,,Planned,,5,7.2,Power and heat,Dedicated storage,Illinois Storage Corridor,,,,,,,,,,,,,,
Coastal Bend Carbon Management Partnership (TX),North America,United States,"Port of Corpus Christi,Talos Energy, Howard Energy Partners,Texas A&M University System",1,Storage,2022,,,,Planned,,1,1.5,CO2 storage,Dedicated storage,Coastal Bend Carbon Management Partnership (TX),,,,,,,,,,,,,,
Corpus Christi offshore storage (TX),North America,United States,"Port of Corpus Christi, 1845 Carbon Storage LLC, Strategic Sequestration Development LLC, and the University of Texas Bureau of Economic Geology’s Gulf Coast Carbon Center",0,Storage,2023,,,,Planned,,,,CO2 storage,Dedicated storage,Corpus Christi offshore storage (TX),,,,,,,,,,,,,,
Javelina Refinery CCS (TX),North America,United States,"Port of Corpus Christi Authority, Howard Midstream",0,Capture,2021,,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,,,,,,,,,,,,,,,
"POET 18 bioprocessing plants (IA, NE, SD)",North America,United States,POET,0,Capture,2021,,2025,,Planned,,5,5,Biofuels,Dedicated storage,Heartland Greenway,,,,,,,,,,,,,,
Plymouth Energy Merrill biorefinery (IA),North America,United States,"Plymouth Energy, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.13,0.157,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Pine Lake Corn Processors Steamboat Rock biorefinery (IA),North America,United States,"Pine Lake Corn Processors, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.19,0.229,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Advanced CO2 Capture from Hydrogen Production Unit at Phillips 66 Rodeo Refinery (CA),North America,United States,Phillips 66,1,Capture,2021,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,,,,,,,,,,,,,,,
One Earth Energy ethanol CCS (IL),North America,United States,One Earth Energy,0,Full chain,2020,,,,Planned,,0.45,1.7,Biofuels,Dedicated storage,Illinois Storage Corridor,,,,,,,,,,,,,,
Cardinal Ethanol Union City (IN),North America,United States,"One Carbon Partnership (Cardinal Ethanol, Vault 44.01 joint venture)",0,Full chain,2023,,,,Planned,,0.4,0.4,Biofuels,Dedicated storage,,,,,,,,,,,,,,,
OCI Fertilizer plant phase 2,North America,United States,"OCI, Enerflex (CO2 capture), Blackrock (funding), Navigor (T)",0,Capture,2021,,,,Planned,2,0.25,0.25,Other industry,Dedicated storage,Heartland Greenway,,,,,,,,,,,,,,
Oxy CE Kleberg County DAC plants (TX),North America,United States,"Occidental, 1PointFive, Carbon Engineering",1,Capture,2022,,2025,,Planned,1,1,1,Direct Air Capture,Dedicated storage,Oxy CO2 sequestration hub (TX),,,,,,,,,,,,,,
DAC-1 Ector County(TX) train 2,North America,United States,"Occidental, 1PointFive, Carbon Engineering",1,Full chain,2019,,2026,,Planned,2,0.5,0.5,Direct Air Capture,EOR,,,,,,,,,,,,,,,
Oxy CE Kleberg County DAC plants (TX) expansion 2030 (15 plants),North America,United States,"Occidental, 1PointFive, Carbon Engineering",1,Capture,2022,,2030,,Planned,2,,,Direct Air Capture,Dedicated storage,Oxy CO2 sequestration hub (TX),,,,,,,,,,,,,,
Oxy CE Kleberg County DAC plants (TX) expansion 2035 (15 plants),North America,United States,"Occidental, 1PointFive, Carbon Engineering",1,Capture,2022,,2035,,Planned,3,,,Direct Air Capture,Dedicated storage,Oxy CO2 sequestration hub (TX),,,,,,,,,,,,,,
PCS Nitrogen Geismar Ammonia plant (LA),North America,United States,"Nutrien, Denbury",1,Full chain,2022,2023,2027,,Planned,,1.2,1.8,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
Northern Plains Nitrogen Blue ammonia (ND),North America,United States,"Northern Plains Nitrogen, Summit Carbon Solutions (T&S)",0,Capture,2013,2023,,,Planned,,0.5,0.5,Other industry,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Project Phoenix ammonia (WY),North America,United States,"North Shore Energy, Starwood Energy Group",0,Full chain,2022,,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,,,,,,,,,,,,,,,
NextDecade Rio Grande LNG (TX),North America,United States,"NextDecade, Mitsubishi HI (ESA/Tech)",0,Full chain,2021,2023,2025,,Planned,,5,5,Natural gas processing,Unknown/unspecified,Houston CCS Hub,,,,,,,,,,,,,,
CalCapture CCS+ Elk Hills power plant (CA) ,North America,United States,"Next carbon solutions (NextDecade), California Resource Corporation (Carbon TerraVault)",0,Full chain,2019,2023,2024,,Planned,,1.4,1.4,Power and heat,EOR,Elk hills ,,,,,,,,,,,,,,
G2 Net-Zero (LA),North America,United States,"Net Power, Siemens, EJM",0,Capture,2020,,2027,,Planned,,4,4,Natural gas processing,Unknown/unspecified,,,,,,,,,,,,,,,
Net Power Odessa gas plant (TX),North America,United States,"Net Power, Oxy (T&S), 8 Rivers capital (funding)",0,Full chain,2022,,2026,,Planned,,,,Power and heat,Dedicated storage,Oxy CO2 sequestration hub (TX),,,,,,,,,,,,,,
Mote biomass-to-hydrogen plant (CA),North America,United States,"Mote, CarbonCure, Fluor Corporation, SungasRenewables",0,Capture,2021,,2025,,Planned,,0.14,0.14,Hydrogen/ammonia,Use and storage,,,,,,,,,,,,,,,
Pecos County Ultra Clean Fuels Refining (TX),North America,United States,MMEX,0,Capture,2021,,,,Planned,,,,Other fuel transformation,EOR,,,,,,,,,,,,,,,
Denbury / Mitsubishi Gulf Coast ammonia project (TBD),North America,United States,"Mitsubishi, Denbury",0,T&S,2021,,,,Planned,,1.8,1.8,CO2 T&S,Dedicated storage,,,,,,,,,,,,,,,
Project Tundra at Milton R Young Station (ND),North America,United States,Minnkota Power Cooperative Inc.,0,Full chain,2018,2023,2026,,Planned,,3.1,3.6,Power and heat,Dedicated storage,Minnkota-Summit Carbon solutions storage (ND),,,,,,,,,,,,,,
Midwest AgEnergy Blue Flint ethanol (ND),North America,United States,Midwest Ag Energy,0,Full chain,2020,,2023,,Planned,,0.2,0.2,Biofuels,Dedicated storage,,,,,,,,,,,,,,,
Dry Fork Integrated Commercial CCS (WY),North America,United States,"Membrane Technology and Research, Basin Electric Power Cooperative, Electric Power Research Institute, University of Wyoming, Bismarck",0,Full chain,2016,,2025,,Planned,,3,3,Power and heat,Unknown/unspecified,,,,,,,,,,,,,,,
Marquis Industrial Complex (IL),North America,United States,Marquis Inc.,0,Full chain,2022,,,,Planned,,,,Biofuels,Dedicated storage,,,,,,,,,,,,,,,
Louis Dreyfus Norfolk biorefinery (IA),North America,United States,"Louis Dreyfus Norfolk, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.13,0.152,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Louis Dreyfus Grand Junction biorefinery (IA),North America,United States,"Louis Dreyfus Grand Junction, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.29,0.343,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Lone Cypress Hydrogen project (CA),North America,United States,"Lone Cypress Energy services, California Resources Corporation (Carbon TerraVault)",1,Full chain,2022,2023,2025,,Planned,,0.1,0.1,Hydrogen/ammonia,Dedicated storage,Elk Hills field,,,,,,,,,,,,,,
Little Sioux Corn Processors Marcus biorefinery (IA),North America,United States,"Little Sioux Corn Processors, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.39,0.458,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Svante capture Linde SMR plant (TX) ,North America,United States,"Linde, Svante",0,Capture,2021,,,,Planned,,1.1,1.1,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
Lincolnway Energy Nevada biorefinery (IA),North America,United States,"Lincolnway Energy, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.22,0.257,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
LG&E Cane Run NGCC CR7 (KY),North America,United States,"LG&E Cane Run, Electric Power Research Institute (FEED), University of Kentucky (tech), DOE (FEED funding)",0,Capture,2022,,,,Planned,,1.7,1.7,Power and heat,Unknown/unspecified,,,,,,,,,,,,,,,
Lapis Energy El Dorado (AR),North America,United States,"Lapis Energy, LSB",0,Full chain,2022,,2025,,Planned,,0.45,0.45,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
KeyState Natural Gas Synthesis & CCUS (PA),North America,United States,KeyState,0,Full chain,2021,,2024,,Planned,,0.104,0.104,Other industry,Dedicated storage,,,,,,,,,,,,,,,
Gerald Gentleman Station Carbon Capture (NE),North America,United States,"ION Engineering, Nebraska Public Power District, Siemens, Koch Modular, Sargent & Lundy",0,Capture,2013,,2025,,Planned,,3.8,3.8,Power and heat,EOR,,,,,,,,,,,,,,,
Calpine Delta Energy Center (CA),North America,United States,"ION Clean Energy, Inc., Calpine",0,Capture,2021,,,,Planned,,,,Power and heat,Dedicated storage,,,,,,,,,,,,,,,
Illinois Clean Fuels Project (IL),North America,United States,"Illinois clean fuels,",0,Capture,2013,2024,2026,,Planned,,8.1,9.7,Biofuels,Dedicated storage,,,,,,,,,,,,,,,
Husker Ag Plainview biorefinery (NE),North America,United States,"Husker Ag, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.27,0.315,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Homeland Energy Solutions Lawler biorefinery (IA),North America,United States,"Homeland Energy Solutions, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.49,0.572,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Highwater Ethanol Lamberton biorefinery (MN),North America,United States,"Highwater Ethanol Lamberton, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.13,0.157,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
HIF USA eFuels Matagorda County (TX),North America,United States,HIF USA,0,CCU,2021,2023,2026,,Planned,,2.2,2.2,Direct Air Capture,Use,,,,,,,,,,,,,,,
Heron Lake biorefinery (MN),North America,United States,"Heron Lake BioEnergy, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.16,0.186,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Heidelberg Materials Mitchell plant (IN),North America,United States,Heidelberg Materials,0,Capture,2022,,,,Planned,,2,2,Cement,Dedicated storage,Mitchell CarbonSAFE (IL),,,,,,,,,,,,,,
Gulf Coast Sequestration Hub Lake Charles (LA),North America,United States,Gulf Coast Sequestration,0,Storage,2020,,2030,,Planned,,2.7,2.7,CO2 storage,Dedicated storage,Gulf Coast Sequestration Hub,,,,,,,,,,,,,,
Green Plains York biorefinery (NE),North America,United States,"Green Plains York, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.13,0.143,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Green Plains Wood River biorefinery (NE),North America,United States,"Green Plains Wood River, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.31,0.346,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Green Plains Superior biorefinery (IA),North America,United States,"Green Plains Superior, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.15,0.172,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Green Plains Shenandoah biorefinery (MN),North America,United States,"Green Plains Shenandoah, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.21,0.235,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Green Plains Otter Tail biorefinery (MN),North America,United States,"Green Plains Otter Tail, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.172,0.172,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Green Plains Fairmont biorefinery (MN),North America,United States,"Green Plains Fairmont, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.3,0.343,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Green Plains Central City biorefinery (NE),North America,United States,"Green Plains Central City, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.3,0.332,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Green Plains Atkinson biorefinery (NE),North America,United States,"Green Plains Atkinson, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.14,0.157,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Granite Falls biorefinery (MN),North America,United States,"Granite Falls Energy, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.15,0.18,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Mustang Station Carbon Capture (TX),North America,United States,"Golden Spread Electric Cooperative,  University of Texas at Austin ",0,Full chain,2019,,2025,,Planned,,1.5,1.5,Power and heat,EOR,,,,,,,,,,,,,,,
Golden Grain Energy Mason City biorefinery (IA),North America,United States,"Golden Grain Energy, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.29,0.343,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Glacial Lakes Energy Aberdeen biorefinery (SD),North America,United States,"Glacial Lakes Energy, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.12,0.14,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Glacial Lakes Energy Mina biorefinery (SD),North America,United States,"Glacial Lakes Energy, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.34,0.4,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Glacial Lakes Energy Watertown biorefinery (SD),North America,United States,"Glacial Lakes Energy, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.32,0.372,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Sutter CO CCS Project (CA),North America,United States,Gas Technology Institute,0,Storage,2023,,,,Planned,,,,CO2 storage,Dedicated storage,Sutter CO CCS Project (CA),,,,,,,,,,,,,,
Fidelis Project Cyclus Baton Rouge (LA),North America,United States,"Fidelis new energy  (Cyclus Steam & Power, Gron Fuels, Capio Sequestration)",0,Full chain,2022,,2032,,Planned,,1,1,Power and heat,Dedicated storage,,,,,,,,,,,,,,,
ExxonMobil Baytown petrochemical site (TX),North America,United States,"ExxonMobil, Honeywell (tech), Technip Energies (FEED)",1,Capture,2022,2024,2028,,Planned,,7,7,Other fuel transformation,Dedicated storage,Houston CCS Hub,,,,,,,,,,,,,,
ExxonMobil Vermilion parish storage (LA),North America,United States,ExxonMobil,1,Storage,2022,,2025,,Planned,,2,2,CO2 storage,Dedicated storage,ExxonMobil Vermilion parish storage,,,,,,,,,,,,,,
CO2 capture at Duke Energy's East Bend Station (KY),North America,United States,"EPRI, MTR",0,Capture,2018,,,,Planned,,,,Power and heat,EOR,,,,,,,,,,,,,,,
EnLink midstream network (LA),North America,United States,EnLink Midstream,1,Transport,2022,,2025,,Planned,,2,2,CO2 transport,,Enlink midstream network (LA),,,,,,,,,,,,,,
Enbridge Ingleside Energy Center Low carbon ammonia (TX),North America,United States,"Enbridge, Humble Midstream",1,Full chain,2022,,2026,,Planned,,,,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
CO2MENT LafargeHolcim Florence (CO),North America,United States,"Electricore, Svante, Holcim Group, Oxy Low Carbon Venture, TotalEnergies",1,Full chain,2020,,2025,,Planned,,0.7,1.5,Cement,Dedicated storage,,,,,,,,,,,,,,,
CO2 capture at Coal Creek (ND),North America,United States,"EERC, NDIC, Rainbow Energy, Mitshubishi HI, Kiewit",0,Capture,2021,2025,,,Planned,,,,Power and heat,Unknown/unspecified,,,,,,,,,,,,,,,
Lake Charles Methanol (LA),North America,United States,"Denbury, Fluor",0,Capture,2009,2023,2025,,Planned,,4,4.2,Other industry,Use and storage,,,,,,,,,,,,,,,
Denbury Ascension Parish sequestration (LA),North America,United States,Denbury Carbon Solutions,0,Storage,2022,,2025,,Planned,,12,12,CO2 storage,Dedicated storage,Denbury Ascension Parish sequestration,,,,,,,,,,,,,,
Enabling Production of Low Carbon Emissions Steel through CO2 Capture from Blast Furnace Gases (Cleaveland-Cliffs Burns Harbors steel plant DOE pre-FEED) (IN),North America,United States,"Dastur International Inc., ON Clean Energy, Inc., University of Texas",0,Capture,2020,,,,Planned,,2,2,Iron and steel,Unknown/unspecified,,,,,,,,,,,,,,,
Dakota Ethanol Wentworth biorefinery (SD),North America,United States,"Dakota Ethanol, Summit Carbon Solutions",0,Capture,2021,2023,2024,,Planned,,0.22,0.257,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Corn LP Goldfield biorefinery (IA),North America,United States,"Corn LP, Summit Carbon Solutions",1,Capture,2021,2023,2024,,Planned,,0.18,0.215,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Carbon Engineering Constellation Nuclear DACS at Byron Generation Station (IL),North America,United States,"Constellation, 1PointFive, Worley, Carbon Engineering, PNNL, U of IL",0,Capture,2022,,,,Planned,,0.25,0.25,Direct Air Capture,Dedicated storage,Illinois Storage Corridor,,,,,,,,,,,,,,
Competitive Power Ventures CCGT (WV),North America,United States,Competitive Power Ventures,0,Capture,2021,,,,Planned,,,,Power and heat,Unknown/unspecified,,,,,,,,,,,,,,,
Climeworks Gulf Coast MoU (LA),North America,United States,"Climeworks, Gulf Coast Sequestration",0,Capture,2022,,2030,,Planned,,1,1,Direct Air Capture,Dedicated storage,Gulf Coast Sequestration Hub,,,,,,,,,,,,,,
Ascension Clean Energy (ACE) complex (LA),North America,United States,"Clean Hydrogen Works, Denbury Carbon Solutions (CO2 T&S), Hafnia (ammonia export)",0,Capture,2022,2024,2027,,Planned,,12,12,Hydrogen/ammonia,Dedicated storage,Denbury Green Pipeline/Denbury Ascension Parish sequestration,,,,,,,,,,,,,,
Bayou Bend CCS offshore (TX),North America,United States,"Chevron (50%), Talos Energy (25% and operator), Carbonvert (25%)",1,Storage,2021,,,,Planned,,,,CO2 storage,Dedicated storage,Bayou Bend CCS offshore (TX),,,,,,,,,,,,,,
Kern River Eastridge cogeneration plant San Joaquin Valley (CA),North America,United States,Chevron,1,Capture,2022,,,,Planned,,,,Power and heat,Dedicated storage,,,,,,,,,,,,,,,
CF Industries and Mitsui Blue ammonia complex (LA),North America,United States,"CF Industries, Mitsui",0,Full chain,2022,2023,2027,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,,,,,,,,,,,,,,,
CF Industries blue ammonia Yazoo (LA),North America,United States,CF Industries,0,Capture,2020,,,,Planned,,0.5,0.5,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
Cerilon gas-to-liquids complex (ND),North America,United States,Cerilon GTL,0,Full chain,2021,,,,Planned,1,2,2,Other fuel transformation,Dedicated storage,,,,,,,,,,,,,,,
Project Bison (WY) Phase 1,North America,United States,"CarbonCapture, Frontier Carbon Solutions",0,Full chain,2022,,2024,,Planned,1,0.01,0.01,Direct Air Capture,Dedicated storage,,,,,,,,,,,,,,,
Project Bison (WY) Phase 2,North America,United States,"CarbonCapture, Frontier Carbon Solutions",0,Full chain,2022,,2026,,Planned,2,0.2,0.2,Direct Air Capture,Dedicated storage,,,,,,,,,,,,,,,
Project Bison (WY) Phase 3,North America,United States,"CarbonCapture, Frontier Carbon Solutions",0,Full chain,2022,,2028,,Planned,3,0.8,0.8,Direct Air Capture,Dedicated storage,,,,,,,,,,,,,,,
Project Bison (WY) Phase 4,North America,United States,"CarbonCapture, Frontier Carbon Solutions",0,Full chain,2022,,2028,,Planned,4,4,4,Direct Air Capture,Dedicated storage,,,,,,,,,,,,,,,
CarbonCapture DACU Carbon Cure at Gary Works (IN),North America,United States,"CarbonCapture, CarbonCure, US Steel",0,CCU,2022,,,,Planned,,,,Direct Air Capture,Use,,,,,,,,,,,,,,,
Gulf of Mexico CCS Partnership Hub,North America,United States,"Carbon Zero (Storage), Cox (field owner), Crescent Midstream (pipeline operator), Repsol",0,T&S,2022,,,,Planned,,,,CO2 T&S,Dedicated storage,Gulf of Mexico CCS Partnership Hub,,,,,,,,,,,,,,
Carbon America Bridgeport Ethanol (NE),North America,United States,Carbon America,0,Full chain,2022,,,,Planned,,0.175,0.175,Biofuels,Dedicated storage,,,,,,,,,,,,,,,
Carbon America Sterling ethanol (CO),North America,United States,Carbon America,0,Full chain,2022,2024,,,Planned,,,,Biofuels,Dedicated storage,,,,,,,,,,,,,,,
Carbon America Yuma ethanol (CO),North America,United States,Carbon America,0,Full chain,2022,2024,,,Planned,,,,Biofuels,Dedicated storage,,,,,,,,,,,,,,,
Haynesville Shale natural gas (LA),North America,United States,"CapturePoint Solutions, Energy transfer",0,Capture,2022,2023,,,Planned,,,,Natural gas processing,Dedicated storage,CENLA hub,,,,,,,,,,,,,,
Calpine Baytown Energy Center (TX),North America,United States,"Calpine, Technip Energies, Shell, Zachry Group",1,Capture,2023,,,,Planned,,2,2,Power and heat,Unknown/unspecified,,,,,,,,,,,,,,,
Calpine Deer Park Energy Center (TX),North America,United States,Calpine Texas CCUS Holdings,0,Capture,2021,,,,Planned,,0.82,5,Power and heat,Dedicated storage,,,,,,,,,,,,,,,
Bushmills Ethanol Atwater (MN),North America,United States,"Bushmills Ethanol, Summit Carbon Solutions",0,Capture,2022,,2024,,Planned,,0.23,0.23,Biofuels,Dedicated storage,Midwest carbon express,,,,,,,,,,,,,,
Linde-bp Texas CCS H2 (TX)-Transport and storage,North America,United States,"BP, Linde",1,T&S,2022,,,,Planned,,15,15,CO2 T&S,Dedicated storage,Linde-bp Texas CCS H2 (TX)-Transport and storage,,,,,,,,,,,,,,
Voestalpine hot briquetted iron plant Portland (TX),North America,United States,"Board of Trustees of the University of Illinois, Voestalpine, Air Liquide",0,Full chain,2022,,,,Planned,,,,Iron and steel,Dedicated storage,,,,,,,,,,,,,,,
Mitchell CarbonSAFE (IL),North America,United States,Board of Trustees of the University of Illinois,0,Storage,2023,,,,Planned,,1.666666667,1.666666667,CO2 storage,Dedicated storage,Mitchell CarbonSAFE (IL),,,,,,,,,,,,,,
Carbon Capture Retrofit at Sherman Generating Station (TX),North America,United States,"Bechtel National, Inc.",0,Capture,2019,,,,Planned,,,,Power and heat,Unknown/unspecified,,,,,,,,,,,,,,,
"Integrated Mid-Continent Stacked Carbon Storage Hub CarbonSAFE (NB, KS)",North America,United States,"Battelle Memorial Institute, ADM, Schlumberger Carbon Services, and the Geological Survey of the Nebraska Conservation and Survey Division",0,T&S,2017,,,,Planned,,1.9,1.9,CO2 T&S,Dedicated storage,"Integrated Mid-Continent Stacked Carbon Storage Hub CarbonSAFE (NB, KS)",,,,,,,,,,,,,,
Carbon Storage Complect Southeastern Michigan (Mi),North America,United States,Battelle Memorial Institute,0,Storage,2023,,,,Planned,,,,CO2 storage,Dedicated storage,Carbon Storage Complect Southeastern Michigan (Mi),,,,,,,,,,,,,,
Dakota H2 Hub (ND),North America,United States,"Bakken Energy, Mitsubishi HI (as Mitsubishi Power Americas), Mandan, Hidatsa, and Arikara Nation",1,Full chain,2021,,2027,,Planned,,,,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
AirCapture DACU at Nutrien Kennewick Fertilizer (WA),North America,United States,"AirCapture, Nutrien",0,CCU,2022,,,,Planned,,,,Direct Air Capture,Use,,,,,,,,,,,,,,,
Eastern Louisiana Clean Hydrogen Complex (LA) ,North America,United States,Air Products,0,Full chain,2021,,2026,,Planned,,5,5,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
Aemetis CCS Keyes facility (CA),North America,United States,Aemetis,0,Full chain,2021,,2024,,Planned,,0.4,0.4,Biofuels,Dedicated storage,Aemetis CCS,,,,,,,,,,,,,,
Aemetis CCS Riverbank facility (CA),North America,United States,Aemetis,0,Full chain,2021,,2024,,Planned,,,,Biofuels,Dedicated storage,Aemetis CCS,,,,,,,,,,,,,,
Tulare County Carbon Storage Project (CA),North America,United States,Advanced Resources International Inc.,0,Storage,2023,,,,Planned,,,,CO2 storage,Dedicated storage,Tulare County Carbon Storage Project (CA),,,,,,,,,,,,,,
ADM & Wolf Carbon Solutions pipeline (IA),North America,United States,"ADM, Wolf Carbon Solutions (Wolf Midstream)",0,Transport,2022,,,,Planned,,12,12,CO2 transport,,ADM & Wolf Carbon Solutions pipeline,,,,,,,,,,,,,,
ADM Cedar rapids bioethanol (IA),North America,United States,ADM,0,Capture,2022,,,,Planned,,,,Biofuels,Dedicated storage,ADM & Wolf Carbon Solutions pipeline,,,,,,,,,,,,,,
ADM Clinton bioethanol (IA),North America,United States,ADM,0,Capture,2022,,,,Planned,,,,Biofuels,Dedicated storage,ADM & Wolf Carbon Solutions pipeline,,,,,,,,,,,,,,
Carbon Capture at Corn-processing complex (NE),North America,United States,ADM,0,Capture,2022,,,,Planned,,,,Biofuels,Dedicated storage,Eastern Wyoming Sequestration Hub (WY),,,,,,,,,,,,,,
Coyote Clean Power Project (CO),North America,United States,"8Rivers, Southern Ute Indian Reservation",0,Full chain,2021,2023,2025,,Planned,,0.865,0.865,Power and heat,Unknown/unspecified,,,,,,,,,,,,,,,
Broadwing Clean Energy Complex (IL),North America,United States,"8Rivers, ADM",0,Capture,2021,2023,2025,,Planned,,1,1,Power and heat,Unknown/unspecified,Decatur IL,,,,,,,,,,,,,,
Oxy BlueBonnet CO2 sequestration hub (TX),North America,United States,"1PointFive (Oxy Low carbon ventures), Natural Resource Partners L.P",0,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Oxy CO2 sequestration hub (TX),,,,,,,,,,,,,,
Terrell Natural Gas Processing Plant (former Val Verde) (TX),North America,United States,"Blue Source, Occidental, Chevron",1,Full chain,,,1972,,Operational,,0.4,0.5,Natural gas processing,EOR,,,,,,,,,,,,,,,
Enid fertiliser (OK),North America,United States,"Koch Nitrogen Company, Chaparral Energy",1,Full chain,,,1982,,Operational,,0.68,0.68,Other industry,EOR,,,,,,,,,,,,,,,
Cortez Pipeline (CO-TX),North America,United States,Kinder Morgan,0,Transport,,,1983,,Operational,,19.3,19.3,CO2 transport,,Cortez Pipeline,,,,,,,,,,,,,,
Labarge Shute Creek Gas Processing Plant original (WY),North America,United States,ExxonMobil,1,Full chain,,1984,1986,,Operational,1,3.5,3.5,Natural gas processing,EOR,,,,,,,,,,,,,,,
Great Plains Synfuel Plant (ND) Weyburn-Midale (SK),North America,United States,"Dakota Gasification company, Cenovus, Whitecap, Cardinal",1,Full chain,1997,,2000,,Operational,,3,3,Other fuel transformation,EOR,Weyburn storage unit,,,,,,,,,,,,,,
Denbury NEJD Pipeline (MS-LA),North America,United States,Denbury Carbon Solutions,0,Transport,,,2001,,Operational,,,,CO2 transport,,Denbury NEJD Pipeline,,,,,,,,,,,,,,
Core Energy CO2-EOR South Chester plant (MI),North America,United States,Core Energy,0,Full chain,,,2003,,Operational,,0.35,0.35,Natural gas processing,EOR,,,,,,,,,,,,,,,
Denbury Free state Pipeline (MS),North America,United States,Denbury Carbon Solutions,0,Transport,,,2006,,Operational,,,,CO2 transport,,Denbury Free state Pipeline,,,,,,,,,,,,,,
